Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,Monday Apr 4,boxscore,BAL,,MIN,W-wo,3,2,,1-0,2,0.5,Britton,Jepsen,,2:48,D,45785,+
2,Wednesday Apr 6,boxscore,BAL,,MIN,W,4,2,,2-0,1,up 1.0,Gallardo,Gibson,Britton,3:11,N,12622,++
3,Thursday Apr 7,boxscore,BAL,,MIN,W,4,2,,3-0,1,up 1.0,Jimenez,Hughes,O'Day,2:32,N,11142,+++
4,Friday Apr 8,boxscore,BAL,,TBR,W,6,1,,4-0,1,up 1.5,Tillman,Archer,,2:46,N,17304,++++
5,Sunday Apr 10,boxscore,BAL,,TBR,W,5,3,,5-0,1,up 2.0,Brach,Odorizzi,Britton,2:53,D,23101,+++++
6,Monday Apr 11,boxscore,BAL,@,BOS,W,9,7,,6-0,1,up 2.5,Brach,Kimbrel,Britton,3:26,D,37160,++++++
7,Tuesday Apr 12,boxscore,BAL,@,BOS,W,9,5,,7-0,1,up 2.5,Wright,Buchholz,,3:23,N,31114,+++++++
8,Wednesday Apr 13,boxscore,BAL,@,BOS,L,2,4,,7-1,1,up 2.5,Kelly,Jimenez,Kimbrel,3:13,N,31011,-
9,Thursday Apr 14,boxscore,BAL,@,TEX,L,3,6,,7-2,1,up 2.5,Wilhelmsen,Tillman,Tolleson,2:47,N,22820,--
10,Friday Apr 15,boxscore,BAL,@,TEX,W,11,5,,8-2,1,up 2.5,Worley,Wilhelmsen,,2:47,N,32628,+
11,Saturday Apr 16,boxscore,BAL,@,TEX,L,4,8,,8-3,1,up 1.5,Kela,McFarland,,2:48,N,39493,-
12,Tuesday Apr 19,boxscore,BAL,,TOR,L,3,4,,8-4,1,up 1.5,Stroman,Wright,Osuna,2:50,N,16783,--
13,Wednesday Apr 20,boxscore,BAL,,TOR,W-wo,4,3,10,9-4,1,up 2.5,Givens,Biagini,,3:22,N,15404,+
14,Thursday Apr 21,boxscore,BAL,,TOR,W,3,2,,10-4,1,up 3.5,O'Day,Cecil,Britton,3:09,N,17644,++
15,Friday Apr 22,boxscore,BAL,@,KCR,L,2,4,,10-5,1,up 2.5,Young,Gallardo,Davis,2:31,N,29546,-
16,Saturday Apr 23,boxscore,BAL,@,KCR,W,8,3,,11-5,1,up 3.5,Wilson,Medlen,,3:04,N,39900,+
17,Sunday Apr 24,boxscore,BAL,@,KCR,L,1,6,,11-6,1,up 2.5,Ventura,Wright,,2:42,D,34748,-
18,Monday Apr 25,boxscore,BAL,@,TBR,L,0,2,,11-7,1,up 1.5,Archer,Gausman,Colome,2:37,N,12996,--
19,Tuesday Apr 26,boxscore,BAL,@,TBR,L,1,3,,11-8,1,up 0.5,Romero,Jimenez,Colome,2:44,N,10988,---
20,Wednesday Apr 27,boxscore,BAL,@,TBR,W,3,1,,12-8,1,up 0.5,Tillman,Moore,Britton,2:43,N,11850,+
21,Thursday Apr 28,boxscore,BAL,,CHW,W,10,2,,13-8,1,up 1.5,Givens,Danks,,3:10,N,14568,++
22,Friday Apr 29,boxscore,BAL,,CHW,W,6,3,,14-8,1,up 1.5,Brach,Rodon,Britton,2:30,N,19912,+++
23,Saturday Apr 30,boxscore,BAL,,CHW,L,7,8,,14-9,1,up 0.5,Jones,Britton,,3:42,N,29152,-
24,Sunday May 1,boxscore,BAL,,CHW,L,1,7,,14-10,2,0.5,Sale,Jimenez,,3:07,D,28803,--
25,Tuesday May 3,boxscore,BAL,,NYY,W,4,1,,15-10,1,up 0.5,Tillman,Severino,O'Day,2:43,N,16083,+
26,Wednesday May 4,boxscore,BAL,,NYY,L,0,7,,15-11,2,0.5,Sabathia,Wilson,,3:16,N,15998,-
27,Thursday May 5,boxscore,BAL,,NYY,W-wo,1,0,10,16-11,2,0.5,Britton,Barbato,,2:50,N,19598,+
28,Saturday May 7 (1),boxscore,BAL,,OAK,L,4,8,,16-12,1,up 0.5,Hill,Wright,,3:17,D,15110,-
29,Saturday May 7 (2),boxscore,BAL,,OAK,W,5,2,,17-12,1,up 0.5,Jimenez,Hahn,Britton,2:32,N,29862,+
30,Sunday May 8,boxscore,BAL,,OAK,W,11,3,,18-12,1,up 0.5,Tillman,Graveman,,2:59,D,43690,++
31,Tuesday May 10,boxscore,BAL,@,MIN,W,5,3,,19-12,1,Tied,O'Day,Jepsen,Britton,3:01,N,21586,+++
32,Wednesday May 11,boxscore,BAL,@,MIN,W,9,2,,20-12,1,Tied,Wilson,Hughes,,2:54,D,25094,++++
33,Thursday May 12,boxscore,BAL,,DET,W,7,5,,21-12,1,Tied,Worley,Wilson,Britton,3:16,N,14918,+++++
34,Friday May 13,boxscore,BAL,,DET,W,1,0,,22-12,1,up 1.0,Tillman,Verlander,Britton,2:39,N,30488,++++++
35,Saturday May 14,boxscore,BAL,,DET,W,9,3,,23-12,1,up 1.0,Wright,Sanchez,Brach,2:44,N,32174,+++++++
