"Aalberts,Daniel P.",Professor of Physics,Physics Department,"1989, B.S., Massachusetts Institute of Technology",,"1994, Ph.D., Massachusetts Institute of Technology"
"Adams,Colin C.",Thomas T. Read Professor of Mathematics,Mathematics and Statistics,"1978, B.S., Massachusetts Institute of Technology",,"1983, Ph.D., University of Wisconsin, Madison"
"Adhami,Zaid R.",Visiting Lecturer in Religion,Religion Department,"2010, B.A., Stanford University","2010, M.A., Stanford University",
"Adler Mandelbaum,Sara E.",Visiting Assistant Professor of Economics,Economics Department,"2009, B.A., Case Western Reserve University","2010, M.A., University of California, Santa Barbara","2015, Ph.D., University of California, Santa Barbara"
"Albrecht,Jeannie R",Associate Professor of Computer Science,Computer Science Department,"2001, B.S., Gettysburg College","2003, M.S., Duke University","2007, Ph.D., University of California, San Diego"
"Ali,Laylah",Professor of Art,Art Department,"1991, B.A., Williams College","1994, M.F.A., Washington University",
"Aliev,Baktygul A.",Assistant Professor of Russian,German and Russian Department,"2000, B.A., American University of Central Asi","2007, M.A., McGill University","2014, Ph.D., McGill University"
"Allen,Kristopher D.","Lyell B. Clay Artist in Residence in Jazz Activities/Lecturer in Music, Director of the Jazz Ensemble",Music Department,"1998, B.M., University of Hartford","2004, M.M., State University of New York, Purchase",
"Allen,Sarah M.",Visiting Associate Professor of Comparative Literature,Comparative Literature Program,"1992, A.B., Harvard University","1996, M.A., University of Michigan","2003, Ph.D., Harvard University"
"Apotsos,Alex A.",Lecturer in Geosciences,Geosciences Department,"1999, B.S., Duke University",,"2007, Ph.D., Massachusetts Institute of Technology"
"Apotsos,Michelle M.",Assistant Professor of Art,Art Department,"1999, B.A., University of North Carolina, Chapel Hill","2006, M.A., Tufts University","2013, Ph.D., Stanford University"
"App,Kevin M.",Assistant Professor of Physical Education and Head Men's Basketball Coach,Athletics Department,"2007, B.S., Cornell University",,
"Art,Henry W.",Rosenburg Professor of Environmental Studies and Biology,Biology Department,"1966, B.A., Dartmouth College","1969, M.Phil., Yale University","1971, Ph.D., Yale University"
"Ashraf,Quamrul H.",Associate Professor of Economics,Economics Department,"1999, B.A., Trinity College","2004, M.A., Brown University","2009, Ph.D., Brown University"
"Bailey,Duane A.",Professor of Computer Science,Computer Science Department,"1982, B.A., Amherst College","1984, M.S., University of Massachusetts, Amherst","1988, Ph.D., University of Massachusetts, Amherst"
"Baker-White,Robert E.",Professor of Theatre,Theatre Department,"1980, B.A., Williams College","1983, M.F.A., University of Washington","1990, Ph.D., Stanford University"
"Bakija,Jon M.",Professor of Economics,Economics Department,"1990, B.A., Wesleyan University","1995, M.A., University of Michigan","2000, Ph.D., University of Michigan"
"Balguerie,Valentine F.",Visiting Assistant Professor of French,Romance Languages Department,"2006, B.A., U-Paris III Sorbonne Nouvell","2009, M.A., University of Illinois","2015, Ph.D., Brown University"
"Banta,Lois M.",Professor of Biology,Biology Department,"1983, B.A., Johns Hopkins University",,"1990, Ph.D., California Institute of Technology"
"Barber,Patrick S.",Visiting Assistant Professor of Chemistry,Chemistry Department,"2007, B.S., University of West Florida",,"2011, Ph.D., University of Nevada, Reno"
"Barrale,Alix H.",Assistant Professor of Physical Education and Head Field Hockey Coach,Athletics Department,"1993, B.A., Williams College","1996, M.S., Smith College",
"Barrale,William","Assistant Professor of Physical Education, Head Baseball and Assistant Football Coach",Athletics Department,"1994, B.S., Northeastern University","2004, M.A., Rowan University",
"Barrett,Andrea",Senior Lecturer in English,English Department,"1974, B.S., Union College",,
"Barron,Ethan M.","Assistant Professor of Physical Education, Head Men's Track & Field Coach",Athletics Department,"2001, B.A., Tufts University","2005, M.Ed., Middlebury College",
"Barry,Melissa J.",Chair and Professor of Philosophy,Philosophy Department,"1988, B.A., Wheaton College",,"1998, Ph.D., University of Notre Dame"
"Beaver,Donald deB.",Professor of History of Science,History of Science Department,"1958, B.A., Harvard University",,"1966, Ph.D., Yale University"
"Beck,Kirsten S.",Visiting Assistant Professor of Arabic Studies,Comparative Literature Program,"2006, B.A., Barnard College","2007, M.A., Columbia University",
